t_sec,collisions_per_sec
358.349,1379.061
359.356,1303.160
360.364,1346.782
361.368,1239.819
362.382,1315.484
363.391,1291.294
364.400,1406.234
365.411,1386.691
366.425,1398.599
367.428,1476.306
368.444,1445.136
369.455,1437.894
370.465,1446.008
371.482,1436.610
372.492,1525.107
373.507,1527.583
374.517,1402.258
375.527,1399.213
376.534,1528.236
377.535,1469.154
378.539,1448.047
379.558,1434.755
380.567,1392.168
381.577,1389.716
382.584,1497.705
383.593,1456.070
384.594,1310.144
385.598,1339.578
386.611,1461.793
387.629,1486.475
388.642,1406.344
389.648,1448.525
390.663,1670.015
391.665,1520.781
392.675,1504.962
393.680,1437.257
394.695,1423.675
395.707,1222.623
396.711,1388.672
397.712,1454.449
398.720,1332.165
399.733,1312.617
400.735,1330.372
401.741,1249.765
402.756,1313.784
403.760,1321.037
404.766,1265.149
405.767,1302.081
406.772,1450.157
407.778,1327.503
408.797,1494.616
409.808,1403.418
410.819,1367.839
411.829,1443.070
412.830,1402.819
413.837,1415.929
414.849,1444.104
415.859,1314.146
416.872,1408.165
417.882,1504.843
418.900,1437.663
419.910,1355.617
420.924,1379.778
421.926,1345.757
422.937,1361.341
423.955,1459.084
424.967,1486.948
425.970,1504.872
426.980,1432.880
427.985,1403.478
428.999,1371.104
430.015,1314.865
431.015,1377.550
432.016,1420.126
433.023,1467.314
434.028,1243.292
435.031,1540.672
436.033,1544.180
437.051,1414.556
438.062,1480.699
439.070,1540.919
440.084,1436.414
441.092,1611.179
442.100,1604.930
443.114,1607.134
444.130,1756.396
445.148,1603.652
446.164,1564.791
447.166,1562.554
448.177,1545.440
449.194,1469.053
450.212,1428.099
451.217,1679.227
452.231,1741.579
453.236,1358.143
454.238,1276.519
455.251,1242.357
456.260,1164.488
457.269,1222.489
458.271,1370.123
459.285,1384.813
460.296,1408.397
461.308,1346.436
462.322,1337.837
463.333,1429.233
464.344,1332.480
465.356,1246.320
466.357,1261.106
467.365,1350.431
468.369,1320.942
469.376,1290.205
